standard,module,type_name,path,leaf_name,range,cardinality,definition
ibpdi,digital-twin,AccessPanel,AccessPanel/AccessPanelId,AccessPanelId,string,optional,Unique identifier either coming from previous system otherwise it needs to be defined
ibpdi,digital-twin,AccessPanel,AccessPanel/ComponentTypeId,ComponentTypeId,,optional,
ibpdi,digital-twin,AccessPanel,AccessPanel/FireRating,FireRating,string,optional,Fire rating
ibpdi,digital-twin,AccessPanel,AccessPanel/FrameMaterial,FrameMaterial,string,optional,Frame material
ibpdi,digital-twin,AccessPanel,AccessPanel/Height,Height,decimal,optional,Height
ibpdi,digital-twin,AccessPanel,AccessPanel/Material,Material,string,optional,Material of access panel
ibpdi,digital-twin,AccessPanel,AccessPanel/Thickness,Thickness,decimal,optional,Thickness
ibpdi,digital-twin,AccessPanel,AccessPanel/Type,Type,string,optional,Access panel type
ibpdi,digital-twin,AccessPanel,AccessPanel/Width,Width,decimal,optional,Width
ibpdi,digital-twin,AirCompressor,AirCompressor/AirCompressorId,AirCompressorId,string,optional,Unique identifier either coming from previous system otherwise it needs to be defined
ibpdi,digital-twin,AirCompressor,AirCompressor/ComponentTypeId,ComponentTypeId,,optional,
ibpdi,digital-twin,AirCompressor,AirCompressor/FreeAirDelivery,FreeAirDelivery,decimal,optional,Free air delivery
ibpdi,digital-twin,AirCompressor,AirCompressor/MotorPower,MotorPower,decimal,optional,Motor power
ibpdi,digital-twin,AirCompressor,AirCompressor/WorkingPressure,WorkingPressure,decimal,optional,WorkingPressure
ibpdi,digital-twin,AirFilter,AirFilter/AirFilterId,AirFilterId,string,optional,Unique identifier either coming from previous system otherwise it needs to be defined
ibpdi,digital-twin,AirFilter,AirFilter/ComponentTypeId,ComponentTypeId,,optional,
ibpdi,digital-twin,AirFilter,AirFilter/FanCommissionDate,FanCommissionDate,dateTime,optional,Fan commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirFilter,AirFilter/FanDriveType,FanDriveType,string,optional,Fan fan drive type
ibpdi,digital-twin,AirFilter,AirFilter/FanDurationLifeYear,FanDurationLifeYear,integer,optional,Fan life span of component in years
ibpdi,digital-twin,AirFilter,AirFilter/FanExpectedEndOfLife,FanExpectedEndOfLife,dateTime,optional,Fan expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirFilter,AirFilter/FanExpectedReplacementCost,FanExpectedReplacementCost,decimal,optional,Fan expected replacement costs
ibpdi,digital-twin,AirFilter,AirFilter/FanInitialCost,FanInitialCost,decimal,optional,Fan initial cost
ibpdi,digital-twin,AirFilter,AirFilter/FanInstallationDate,FanInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirFilter,AirFilter/FanMaintenanceInterval,FanMaintenanceInterval,string,optional,"Fan maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirFilter,AirFilter/FanMaxAirflowRating,FanMaxAirflowRating,decimal,optional,Fan max flow capacity
ibpdi,digital-twin,AirFilter,AirFilter/FanMinAirflowRating,FanMinAirflowRating,decimal,optional,Fan min flow capacity
ibpdi,digital-twin,AirFilter,AirFilter/FanModelNumber,FanModelNumber,string,optional,Model number of fan
ibpdi,digital-twin,AirFilter,AirFilter/FanMotorPower,FanMotorPower,decimal,optional,Fan motor power
ibpdi,digital-twin,AirFilter,AirFilter/FanName,FanName,string,optional,Name of fan
ibpdi,digital-twin,AirFilter,AirFilter/FanNominalAirflow,FanNominalAirflow,decimal,optional,Fan nominal airflow
ibpdi,digital-twin,AirFilter,AirFilter/FanSerialNumber,FanSerialNumber,string,optional,Serial number of fan
ibpdi,digital-twin,AirFilter,AirFilter/FanTagNumber,FanTagNumber,string,optional,Fan tag number
ibpdi,digital-twin,AirFilter,AirFilter/FanTurnoverDate,FanTurnoverDate,dateTime,optional,Fan turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/AirHandlingUnitId,AirHandlingUnitId,string,optional,Unique identifier either coming from previous system otherwise it needs to be defined
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/AirflowModulation,AirflowModulation,string,optional,Airflow modulation
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ComponentTypeId,ComponentTypeId,,optional,
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/DehumidificationMethod,DehumidificationMethod,string,optional,Dehumidification method
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/DischargeDuctworkConfiguration,DischargeDuctworkConfiguration,string,optional,Discharge ductwork configuration
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanCommissionDate,ExhaustFanCommissionDate,dateTime,optional,Exhaust fan commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanDriveType,ExhaustFanDriveType,string,optional,Exhaust fan fan drive type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanDurationLifeYear,ExhaustFanDurationLifeYear,integer,optional,Exhaust fan life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanExpectedEndOfLife,ExhaustFanExpectedEndOfLife,dateTime,optional,Exhaust fan expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanExpectedReplacementCost,ExhaustFanExpectedReplacementCost,decimal,optional,Exhaust fan expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanInitialCost,ExhaustFanInitialCost,decimal,optional,Exhaust fan initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanInstallationDate,ExhaustFanInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanMaintenanceInterval,ExhaustFanMaintenanceInterval,string,optional,"Exhaust fan maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanMaxAirflowRating,ExhaustFanMaxAirflowRating,decimal,optional,Exhaust fan max flow capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanMinAirflowRating,ExhaustFanMinAirflowRating,decimal,optional,Exhaust fan min flow capacity
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanModelNumber,ExhaustFanModelNumber,string,optional,Model number of exhaust fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanMotorPower,ExhaustFanMotorPower,decimal,optional,Exhaust fan motor power
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanName,ExhaustFanName,string,optional,Name of exhaust fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanNominalAirflow,ExhaustFanNominalAirflow,decimal,optional,Exhaust fan nominal airflow
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanSerialNumber,ExhaustFanSerialNumber,string,optional,Serial number of exhaust fan
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanTagNumber,ExhaustFanTagNumber,string,optional,Exhaust fan tag number
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/ExhaustFanTurnoverDate,ExhaustFanTurnoverDate,dateTime,optional,Exhaust fan turnover date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/FilterType,FilterType,string,optional,Filter type
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/HumidificationMethod,HumidificationMethod,string,optional,Humidification method
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxCommissionDate,MixingBoxCommissionDate,dateTime,optional,Mixing box commission date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxDurationLifeYear,MixingBoxDurationLifeYear,integer,optional,Mixing box life span of component in years
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxEconomiser,MixingBoxEconomiser,string,optional,Mixing box economizer
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxExpectedEndOfLife,MixingBoxExpectedEndOfLife,dateTime,optional,Mixing box expected end of life date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxExpectedReplacementCost,MixingBoxExpectedReplacementCost,decimal,optional,Mixing box expected replacement costs
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxInitialCost,MixingBoxInitialCost,decimal,optional,Mixing box initial cost
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxInstallationDate,MixingBoxInstallationDate,dateTime,optional,Installation date in yyyy-mm-ddThh:mm:ssZ form (conform to ISO 8061)
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxMaintenanceInterval,MixingBoxMaintenanceInterval,string,optional,"Mixing box maintenance interval either as string: monthly, quarterly, etc. or as month"
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxModelNumber,MixingBoxModelNumber,string,optional,Model number of mixing box
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxName,MixingBoxName,string,optional,Mixing box name of product
ibpdi,digital-twin,AirHandlingUnit,AirHandlingUnit/MixingBoxSerialNumber,MixingBoxSerialNumber,string,optional,Serial number of re heating
